,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
ENFJ,,60709,64069,64274,34660,43057,58956,47607,61889,68767,72158,72159,41234,37879,60337,55020
ENFP,60709,,73463,73897,37436,47509,66610,52903,71315,81095,84752,85171,45048,41389,69076,62026
ENTJ,64069,73463,,80107,38181,48883,73312,56026,76464,86825,94514,93275,47208,42681,75419,66544
ENTP,64274,73897,80107,,38357,49221,72340,55840,76166,86883,93549,93263,46800,42896,74574,66213
ESFJ,34660,37436,38181,38357,,29913,36173,31864,37697,40439,41083,41097,28916,27393,37187,35001
ESFP,43057,47509,48883,49221,29913,,45778,38865,48023,52146,53503,53643,34737,32378,47237,43724
ESTJ,58956,66610,73312,72340,36173,45778,,52266,69600,77103,84070,82842,44413,40081,68277,61087
ESTP,47607,52903,56026,55840,31864,38865,52266,,54376,59008,62125,61684,37607,34689,53343,49060
INFJ,61889,71315,76464,76166,37697,48023,69600,54376,,83622,89193,88328,46091,42088,72271,63980
INFP,68767,81095,86825,86883,40439,52146,77103,59008,83622,,103622,103846,49559,45002,80919,70916
INTJ,72158,84752,94514,93549,41083,53503,84070,62125,89193,103622,,113254,51421,46548,87139,75369
INTP,72159,85171,93275,93263,41097,53643,82842,61684,88328,103846,113254,,51197,46198,86042,74992
ISFJ,41234,45048,47208,46800,28916,34737,44413,37607,46091,49559,51421,51197,,31722,45455,42060
ISFP,37879,41389,42681,42896,27393,32378,40081,34689,42088,45002,46548,46198,31722,,41327,38510
ISTJ,60337,69076,75419,74574,37187,47237,68277,53343,72271,80919,87139,86042,45455,41327,,62916
ISTP,55020,62026,66544,66213,35001,43724,61087,49060,63980,70916,75369,74992,42060,38510,62916,
