,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
ENFJ,,"['درلیست', 'فالوازشما', 'بکاکان', 'برقوباد', 'فالوکنید', 'مثیسیممی', 'چهقدر', 'میخواسم', 'باوا', 'هانیل']","['اددشدن', 'فالوازشما', 'بکاکان', 'برقوباد', 'آج', 'مثیسیممی', 'یونجون', 'ویشی', 'هانیل', 'طنازم']","['درلیست', 'فالوازشما', 'بکاکان', 'برقوباد', 'مثیسیممی', 'چهقدر', 'ویشی', 'هانیل', 'عشی', 'میخوایی']","['آذربایجان', 'درلیست', 'اددشدن', 'فالوازشما', 'باافتخار', 'بکاکان', 'فالوی', 'برقوباد', 'فالوکنید', 'فالوبک']","['درلیست', 'اددشدن', 'صددرصدی', 'فالوازشما', 'ازما', 'باافتخار', 'انفجاری', 'بکاکان', 'فالوی', 'برقوباد']","['درلیست', 'اددشدن', 'فالوازشما', 'بکاکان', 'برقوباد', 'فالوکنید', 'آج', 'موچی', 'مثیسیممی', 'ارزشگذاری']","['درلیست', 'لویی', 'اددشدن', 'فالوازشما', 'فالوی', 'برقوباد', 'فالوکنید', 'واندی', 'فالوکن', 'آج']","['درلیست', 'اددشدن', 'فالوازشما', 'بکاکان', 'برقوباد', 'فالوکن', 'آج', 'مثیسیممی', 'ویشی', 'هانیل']","['اددشدن', 'فالوازشما', 'باافتخار', 'بکاکان', 'برقوباد', 'فالوکنید', 'مثیسیممی', 'چهقدر', 'ویشی', 'بومیان']","['درلیست', 'اددشدن', 'فالوازشما', 'برقوباد', 'فالوکنید', 'مثیسیممی', 'چهقدر', 'باوا', 'طنازم', 'مسمس']","['درلیست', 'اددشدن', 'فالوازشما', 'باافتخار', 'فالوی', 'برقوباد', 'فالوکنید', 'فالوکن', 'مثیسیممی', 'چهقدر']","['درلیست', 'اددشدن', 'صددرصدی', 'فالوازشما', 'باافتخار', 'بکاکان', 'فالوی', 'برقوباد', 'فالوکنید', 'فالوکن']","['درلیست', 'اددشدن', 'صددرصدی', 'فالوازشما', 'باافتخار', 'بکاکان', 'فالوی', 'برقوباد', 'فالوکنید', 'فالوکن']","['درلیست', 'اددشدن', 'فالوازشما', 'بکاکان', 'برقوباد', 'فالوکن', 'مثیسیممی', 'چهقدر', 'سهونی', 'ویشی']","['درلیست', 'اددشدن', 'فالوازشما', 'بکاکان', 'فالوی', 'برقوباد', 'فالوکنید', 'فالوکن', 'مثیسیممی', 'افیس']"
ENFP,"['وعجل', 'وآل', 'داداز', 'هچان', 'تراویس', 'مشمممشمشمشم', 'طیما', 'لاندن', 'ایشاللا', 'نیوی']",,"['داداز', 'هچان', 'مشمممشمشمشم', 'طیما', 'نیوی', 'یوشی', 'کیهیون', 'تورنسل', 'وونهو', 'منستا']","['وعجل', 'خدایاری', 'داداز', 'واسعه', 'مشمممشمشمشم', 'مرسیتم', 'جودان', 'منستااکس', 'استایلمه', 'امواتتون']","['جوهان', 'نژادیان', 'انسیتی', 'ارره', 'وعجل', 'وآل', 'مادرجنده', 'عاخه', 'سوجین', 'مونببه']","['وعجل', 'وآل', 'اهوم', 'خدایاری', 'جودی', 'داداز', 'یاالله', 'واسعه', 'مشمممشمشمشم', 'عیح']","['هقق', 'مونببه', 'داداز', 'هچان', 'مشمممشمشمشم', 'چطوریی', 'سیزنی', 'نیوی', 'مرسیتم', 'کیهیون']","['لویی', 'جوهان', 'واندی', 'زیام', 'پرسینگ', 'داداز', 'تراویس', 'مشمممشمشمشم', 'تنک', 'قلبببب']","['خدایاری', 'داداز', 'هچان', 'واسعه', 'مشمممشمشمشم', 'طیما', 'خودسازی', 'خه', 'بقورمت', 'جودان']","['خدایاری', 'مشمممشمشمشم', 'نیوی', 'آمیگا', 'استایلمه', 'نوشیروانی', 'دابض', 'عنقد', 'ممدتقی', 'فرجنا']","['داداز', 'واسعه', 'مشمممشمشمشم', 'مرسیتم', 'جودان', 'منستااکس', 'انوشا', 'دابض', 'عرررررررررررررررررر', 'صپ']","['وعجل', 'مشمممشمشمشم', 'تورنسل', 'آمیگا', 'اشالا', 'سامیار', 'دابض', 'عرررررررررررررررررر', 'عنقد', 'انوش']","['مثلن', 'سوجین', 'خدایاری', 'داداز', 'واسعه', 'تراویس', 'مشمممشمشمشم', 'اهو', 'مودددد', 'لاندن']","['انسیتی', 'ارره', 'مونببه', 'خدایاری', 'داداز', 'یاالله', 'هچان', 'واسعه', 'تراویس', 'مشمممشمشمشم']","['جوهان', 'وآل', 'مونببه', 'داداز', 'تراویس', 'مشمممشمشمشم', 'خودسازی', 'میسییی', 'تورنسل', 'وونهو']","['وآل', 'مونببه', 'داداز', 'هچان', 'واسعه', 'مشمممشمشمشم', 'قلبببب', 'طیما', 'لاندن', 'سیزنی']"
ENTJ,"['فالوبکیان', 'بکاک', 'داعس', 'ادشدن', 'تندروها', 'ـای', 'بنگلور', 'ابیها', 'بعلها', 'بنیها']","['فالوبکیان', 'بانکداری', 'داعس', 'ادشدن', 'تندروها', 'هرکدام', 'بنگلور', 'الیم', 'هزارتو', 'میدایم']",,"['فالوبکیان', 'داعس', 'کاشک', 'ادشدن', 'ـای', 'بنگلور', 'ابیها', 'بعلها', 'بنیها', 'ـو']","['۴۰۴', 'فالوبکیان', 'بانکداری', 'بکاک', 'مادرجنده', 'آذربایجان', 'داعس', 'کاشک', 'ادشدن', 'تندروها']","['فالوبکیان', 'بانکداری', 'بکاک', 'کاشک', 'ادشدن', 'تندروها', 'شاالله', 'امارات', 'ارمنستان', 'تجارت']","['فالوبکیان', 'بکاک', 'داعس', 'کاشک', 'ادشدن', 'جیکوک', 'بوص', 'بنگلور', 'هزارتو', 'بیبم']","['فالوبکیان', 'داعس', 'کاشک', 'ادشدن', 'لویی', 'مگرنه', 'الیرم', 'گرح', 'بوص', 'سریلانکا']","['داعس', 'کاشک', 'ادشدن', 'تندروها', 'بنگلور', 'ابیها', 'بعلها', 'بنیها', 'میدایم', 'کاملآ']","['داعس', 'کاشک', 'بنگلور', 'ابیها', 'بیبم', 'میدایم', 'فینتک', 'سیرفید', 'داروک', 'بیلمیم']","['فالوبکیان', 'داعس', 'کاشک', 'ادشدن', 'بنگلور', 'بیبم', 'میدایم', 'فینتک', 'سیرفید', 'داروک']","['فالوبکیان', 'داعس', 'ادشدن', 'ـای', 'ابیها', 'بعلها', 'بنیها', 'میدایم', 'کاملآ', 'سیرفید']","['فالوبکیان', 'بکاک', 'حتا', 'داعس', 'کاشک', 'ادشدن', 'مثلن', 'آد', 'ـای', 'فعلن']","['۴۰۴', 'فالوبکیان', 'استارتاپ', 'بانکداری', 'بکاک', 'قالیباف', 'رعیت', 'داعس', 'کاشک', 'ادشدن']","['فالوبکیان', 'داعس', 'ادشدن', 'ـای', 'ـا', 'گرح', 'اولماز', 'قشح', 'بنگلور', 'ابیها']","['۴۰۴', 'فالوبکیان', 'بکاک', 'داعس', 'کاشک', 'ادشدن', 'تندروها', 'خلخال', 'بنگلور', 'ابیها']"
ENTP,"['فالو۲', 'کنیدکه', 'عشقول', 'جیسانگ', 'بب', 'ایشاا', 'ایشاللا', 'بدنبال', 'ریون', 'کانیو']","['فالو۲', 'کنیدکه', 'عشقول', 'تلما', 'دادوبیداد', 'قلنبه', 'سانزو', 'ععی', 'عاهان', 'ایستیرم']","['فالو۲', 'کنیدکه', 'مینهیوک', 'سوبین', 'عشقول', 'یونجون', 'جیسانگ', 'اددشدن', 'بنگچان', 'دادوبیداد']",,"['فالو۲', '۴۰۴', 'مادرجنده', 'کنیدکه', 'ممنوونم', 'اوهوع', 'عاغا', 'عاخه', 'مینهیوک', 'فالوکن']","['فالو۲', 'کنیدکه', 'عاغا', 'اصلاحات', 'فالوکن', 'میرحسین', 'عشقول', 'قشح', 'جیسانگ', 'پیوستن']","['فالو۲', 'کنیدکه', 'مینهیوک', 'سوبین', 'عشقول', 'تلما', 'اددشدن', 'هقق', 'مانهوا', 'بومگیو']","['لویی', 'فالو۲', 'کنیدکه', 'مینهیوک', 'فالوکن', 'واندی', 'لوییه', 'الیرم', 'عشقول', 'جیسانگ']","['فالو۲', 'کنیدکه', 'فالوکن', 'اددشدن', 'دمتگرم', 'ایستمیرم', 'ععی', 'ایشاا', 'ایشالاه', 'سئوال']","['فالو۲', 'کنیدکه', 'عشقول', 'جیسانگ', 'اددشدن', 'دادوبیداد', 'ایشاا', 'کانیو', 'اروشا', 'جیغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغ']","['فالو۲', 'کنیدکه', 'عشقول', 'جیسانگ', 'اددشدن', 'سانزو', 'ایشاا', 'عاهان', 'گیانم', 'کانیو']","['فالو۲', 'فالوکن', 'جیسانگ', 'تلما', 'اددشدن', 'ایشاا', 'کانیو', 'اروشا', 'مبارکاااااا', 'جیغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغ']","['فالو۲', 'حتا', 'کنیدکه', 'عاغا', 'فالوکن', 'ناروتو', 'مثلن', 'عشقول', 'ارع', 'جیسانگ']","['فالو۲', '۴۰۴', 'ممنوونم', 'عاغا', 'واجور', 'صنایع', 'فکنم', 'استارتاپ', 'فالوکن', 'طلبان']","['فالو۲', 'کنیدکه', 'فالوکن', 'قشح', 'جیسانگ', 'اددشدن', 'دادوبیداد', 'بب', 'مونببه', 'گرح']","['فالو۲', '۴۰۴', 'کنیدکه', 'فالوکن', 'جیسانگ', 'اددشدن', 'دادوبیداد', 'اندو', 'مونببه', 'اشتون']"
ESFJ,"['یونگجه', 'وایییییفبینبسذمبین', 'مهک', 'طوریکه', 'ایشاللا', 'وایجی', 'شرلاک', 'مرمی', 'دزسل', 'جیغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغ']","['چهیونگ', 'وایییییفبینبسذمبین', 'مهک', 'شرلاک', 'دزسل', 'جیغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغ', 'سمسمسم', 'بوز', 'چهقدر', 'کونمت']","['چهیونگ', 'وایییییفبینبسذمبین', 'مهک', 'شرلاک', 'مرمی', 'اولیویا', 'دزسل', 'جیغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغ', 'سمسمسم', 'گیلاسم']","['وایییییفبینبسذمبین', 'مهک', 'طوریکه', 'دزسل', 'جیغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغ', 'چهقدر', 'عزیزممممممم', 'کونمت', 'آلای', 'مرصاد']",,"['چهیونگ', 'وایییییفبینبسذمبین', 'اسموکی', 'دوزت', 'وایجی', 'شرلاک', 'مرمی', 'سیستر', 'ایشاالله', 'دزسل']","['چهیونگ', 'وایییییفبینبسذمبین', 'گتسبی', 'وایجی', 'بستیا', 'شرلاک', 'سیلام', 'مرمی', 'چطوریی', 'سیستر']","['یونگجه', 'لویی', 'وایییییفبینبسذمبین', 'مهک', 'گتسبی', 'ایشاللا', 'زیام', 'آلان', 'اسموکی', 'دوزت']","['چهیونگ', 'وایییییفبینبسذمبین', 'مهک', 'دوزت', 'بستیا', 'انارم', 'مرمی', 'دزسل', 'جیغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغ', 'رژینا']","['وایییییفبینبسذمبین', 'مرمی', 'دزسل', 'جیغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغ', 'چهقدر', 'کونمت', 'آلای', 'چوطورییی', 'هیعی', 'چوطوریییی']","['چهیونگ', 'وایییییفبینبسذمبین', 'مهک', 'دوزت', 'شرلاک', 'دزسل', 'جیغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغ', 'گیلاسم', 'رژینا', 'چهقدر']","['وایییییفبینبسذمبین', 'مهک', 'دزسل', 'جیغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغ', 'رژینا', 'چهقدر', 'کونمت', 'آلای', 'چوطورییی', 'چوطوریییی']","['حتا', 'چهیونگ', 'مثلن', 'وایییییفبینبسذمبین', 'گتسبی', 'طوریکه', 'ایشاللا', 'اسموکی', 'واللا', 'شرلاک']","['چهیونگ', 'یونگجه', 'وایییییفبینبسذمبین', 'مهک', 'گتسبی', 'فکنم', 'ایشاللا', 'آلان', 'اسموکی', 'وایجی']","['وایییییفبینبسذمبین', 'شرلاک', 'دزسل', 'جیغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغغ', 'سمسمسم', 'فه', 'چهقدر', 'مبالک', 'کونمت', 'سمسمس']","['چهیونگ', 'یونگجه', 'مرررررسی', 'وایییییفبینبسذمبین', 'مهک', 'طوریکه', 'اسموکی', 'وایجی', 'شرلاک', 'سیستر']"
ESFP,"['فنکیووو', 'فنکیوووو', 'جهیون', 'کهنوجی', 'مووواااااچ', 'موچه', 'کینگدام', 'علموص', 'سونگجه', 'ایشاللا']","['ددش', 'حانا', 'ممدجون', 'کهنوجی', 'مسجدسلیمان', 'مووواااااچ', 'سونگجه', 'ایلیچیل', 'موووووووااااااچ', 'داعس']","['چانگبین', 'فنکیووو', 'فنکیوووو', 'حانا', 'جهیون', 'کهنوجی', 'مسجدسلیمان', 'مووواااااچ', 'یونجون', 'سونگجه']","['فنکیووو', 'فنکیوووو', 'حانا', 'کهنوجی', 'مووواااااچ', 'موچه', 'پح', 'ایلیچیل', 'موووووووااااااچ', 'رجبلو']","['حجی', 'فنکیووو', 'طاها', 'فنکیوووو', 'بنازم', 'ددش', '٬', 'حانا', 'امیرجون', 'جهیون']",,"['فنکیووو', 'فنکیوووو', 'ددش', 'حانا', 'ممدجون', 'النا', 'کهنوجی', 'بغلللل', 'مووواااااچ', 'موچه']","['فنکیووو', 'فنکیوووو', 'لویی', 'ددش', 'حانا', 'النا', 'کهنوجی', 'بهتتتت', 'مووواااااچ', 'پح']","['فنکیوووو', 'ددش', 'حانا', 'ممدجون', 'کهنوجی', 'مسجدسلیمان', 'موچه', 'پح', 'سونگجه', 'ایلیچیل']","['کهنوجی', 'مووواااااچ', 'موچه', 'سونگجه', 'ایلیچیل', 'موووووووااااااچ', 'داعس', 'نیوفرند', 'شمو', 'مرتیک']","['فنکیووو', 'فنکیوووو', 'ددش', 'حانا', 'کهنوجی', 'مووواااااچ', 'سونگجه', 'ایلیچیل', 'موووووووااااااچ', 'داعس']","['حانا', 'کهنوجی', 'مووواااااچ', 'موچه', 'سونگجه', 'ایلیچیل', 'موووووووااااااچ', 'داعس', 'مرتیک', 'زبیده']","['حجی', 'فنکیووو', 'فنکیوووو', 'ددش', 'حانا', 'جوعان', 'ممدجون', 'النا', 'کهنوجی', 'مسجدسلیمان']","['طاها', 'فنکیوووو', 'حانا', 'جوعان', 'ممدجون', 'جهیون', 'کهنوجی', 'مسجدسلیمان', 'بهتتتت', 'میووو']","['فنکیوووو', 'ددش', 'حانا', 'کهنوجی', 'مسجدسلیمان', 'مووواااااچ', 'موچه', 'سونگجه', 'موووووووااااااچ', 'داعس']","['فنکیووو', 'فنکیوووو', 'ددش', 'حانا', 'منشنننن', 'جوعان', 'کهنوجی', 'مووواااااچ', 'پح', 'پانیذ']"
ESTJ,"['ضدویروس', 'دورانتاش', 'کسپرسکی', 'ترندمیکرو', 'وبروت', 'مامون', 'ازبالا', 'نخوچی', 'روسها', 'آگامادریدیستا']","['ضدویروس', 'دورانتاش', 'کسپرسکی', 'ترندمیکرو', 'وبروت', 'بدافزار', 'نورتون', 'ازبالا', 'نخوچی', 'یاشا']","['دورانتاش', 'کسپرسکی', 'ترندمیکرو', 'وبروت', 'مامون', 'نورتون', 'ازبالا', 'نخوچی', 'ائله', 'آگامادریدیستا']","['ضدویروس', 'کسپرسکی', 'ترندمیکرو', 'بدافزار', 'مامون', 'نخوچی', 'مالور', 'آگامادریدیستا', 'طبرستان', 'خرمدینان']","['ضدویروس', 'دورانتاش', 'کسپرسکی', 'ترندمیکرو', 'وبروت', 'بدافزار', 'فالوکن', 'مامون', 'دیفندر', 'توزیع']","['ضدویروس', 'دورانتاش', 'کسپرسکی', 'ترندمیکرو', 'وبروت', 'بدافزار', 'فالوکن', 'مامون', 'نورتون', 'لایسنس']",,"['ضدویروس', 'دورانتاش', 'کسپرسکی', 'ترندمیکرو', 'وبروت', 'فالوکن', 'مامون', 'مازیار', 'لویی', 'ازبالا']","['ضدویروس', 'دورانتاش', 'کسپرسکی', 'ترندمیکرو', 'وبروت', 'فالوکن', 'دیفندر', 'نخوچی', 'مالور', 'آگامادریدیستا']","['دورانتاش', 'کسپرسکی', 'ترندمیکرو', 'وبروت', 'مامون', 'ازبالا', 'نخوچی', 'مالور', 'آگامادریدیستا', 'خرمدینان']","['ضدویروس', 'دورانتاش', 'کسپرسکی', 'ترندمیکرو', 'وبروت', 'ازبالا', 'نخوچی', 'مالور', 'آگامادریدیستا', 'خرمدینان']","['ضدویروس', 'دورانتاش', 'کسپرسکی', 'ترندمیکرو', 'وبروت', 'فالوکن', 'ازبالا', 'نخوچی', 'مالور', 'آگامادریدیستا']","['ضدویروس', 'دورانتاش', 'کسپرسکی', 'ارع', 'ترندمیکرو', 'وبروت', 'بدافزار', 'فالوکن', 'مامون', 'نورتون']","['ضدویروس', 'دورانتاش', 'کسپرسکی', 'ترندمیکرو', 'وبروت', 'بدافزار', 'فالوکن', 'مامون', 'زنها', 'نورتون']","['ضدویروس', 'دورانتاش', 'کسپرسکی', 'ترندمیکرو', 'وبروت', 'فالوکن', 'مامون', 'دیفندر', 'ازبالا', 'نخوچی']","['ضدویروس', 'دورانتاش', 'کسپرسکی', 'ترندمیکرو', 'وبروت', 'فالوکن', 'مامون', 'نورتون', 'نخوچی', 'مالور']"
ESTP,"['لەش', 'سەرکەوتووبن', 'سایکوپات', 'زۆر', 'آستارا', 'شینگچو', 'مهرگانم', 'فارم', 'عستاد', 'هوتائو']","['لەش', 'سەرکەوتووبن', 'سایکوپات', 'شینگچو', 'ائله', 'مهرگانم', 'فریلند', 'عستاد', 'بلینکز', 'دیونا']","['ساغ', 'لەش', 'سەرکەوتووبن', 'زۆر', 'ائله', 'مهرگانم', 'بلینکز', 'دیونا', 'ناجنس', 'ئەو']","['لەش', 'سەرکەوتووبن', 'زۆر', 'شینگچو', 'مهرگانم', 'هوتائو', 'بۆ', 'بلینکز', 'دیونا', 'ناجنس']","['لەش', 'سەرکەوتووبن', 'داشتند', 'سایکوپات', 'زۆر', 'سؤال', 'خلسه', 'ارتوپدی', 'شینگچو', 'مهرگانم']","['ساغ', 'لەش', 'موچکرم', 'سەرکەوتووبن', 'رسمن', 'سایکوپات', 'بیلد', 'زۆر', 'بگیرند', 'شینگچو']","['لەش', 'سەرکەوتووبن', 'سایکوپات', 'زۆر', 'شینگچو', 'مهرگانم', 'فریلند', 'عستاد', 'کازوها', 'ناناحتم']",,"['لەش', 'سەرکەوتووبن', 'سایکوپات', 'مهرگانم', 'بستیا', 'بلینکز', 'دیونا', 'ناجنس', 'ادگارد', 'دوفوریتی']","['ساغ', 'لەش', 'سەرکەوتووبن', 'مهرگانم', 'عستاد', 'هوتائو', 'دیونا', 'ئەو', 'نییە', 'ایشاا']","['لەش', 'سەرکەوتووبن', 'سایکوپات', 'شینگچو', 'مهرگانم', 'عستاد', 'بلینکز', 'دیونا', 'ئەو', 'ایاتو']","['لەش', 'سەرکەوتووبن', 'سایکوپات', 'زۆر', 'شینگچو', 'مهرگانم', 'کازوها', 'هوتائو', 'بۆ', 'دیونا']","['لەش', 'حتا', 'سەرکەوتووبن', 'رسمن', 'سایکوپات', 'زۆر', 'مثلن', 'ارتوپدی', 'اتند', 'شینگچو']","['ساغ', 'لەش', 'قالیباف', 'سەرکەوتووبن', 'لاهیجان', 'سایکوپات', 'زۆر', 'آستارا', 'ارتوپدی', 'مهرگانم']","['لەش', 'سەرکەوتووبن', 'شینگچو', 'ائله', 'مهرگانم', 'فریلند', 'عستاد', 'کازوها', 'هوتائو', 'بلینکز']","['لەش', 'سەرکەوتووبن', 'زۆر', 'شینگچو', 'مهرگانم', 'فریلند', 'عستاد', 'آلیسون', 'کازوها', 'هوتائو']"
INFJ,"['بغلان', 'بە', 'هەر', 'بۆ', 'ئەوە', 'وەڵڵا', 'کیلیلی', 'نییە', 'ئەو', 'ئەرێ']","['بغلان', 'بە', 'هەر', 'ئەوە', 'کیلیلی', 'ئەو', 'ئەرێ', 'وایە', 'چۆن', 'کردنتتتت']","['هەر', 'لە', 'ئەوە', 'وەڵڵا', 'نییە', 'ئەو', 'ئەرێ', 'وایە', 'چۆن', 'زۆر']","['بغلان', 'هەر', 'بۆ', 'ئەوە', 'وەڵڵا', 'نییە', 'ئەرێ', 'وایە', 'چۆن', 'کردنتتتت']","['بغلان', 'مادرجنده', 'بە', 'نژادیان', 'هەر', 'لە', 'بۆ', 'ئەوە', 'وەڵڵا', 'کیلیلی']","['بغلان', 'دگه', 'بە', 'هەر', 'لە', 'بۆ', 'ئەوە', 'وەڵڵا', 'کیلیلی', 'نییە']","['بغلان', 'بە', 'هەر', 'بۆ', 'ئەوە', 'وەڵڵا', 'کیلیلی', 'نییە', 'ئەو', 'ئەرێ']","['بغلان', 'دگه', 'لویی', 'وەڵڵا', 'کیلیلی', 'واندی', 'کردنتتتت', 'کیرسگ', 'خواهرزن', 'کوڕە']",,"['وەڵڵا', 'کیلیلی', 'نییە', 'ئەو', 'وایە', 'کردنتتتت', 'بێ', 'ئەی', 'ئای', 'کوڕە']","['بغلان', 'هەر', 'وەڵڵا', 'نییە', 'ئەو', 'وایە', 'چۆن', 'کردنتتتت', 'کیرسگ', 'ئەی']","['بغلان', 'هەر', 'بۆ', 'ئەوە', 'وەڵڵا', 'نییە', 'ئەو', 'ئەرێ', 'وایە', 'چۆن']","['بغلان', 'بە', 'هەر', 'لە', 'بۆ', 'ئەوە', 'وەڵڵا', 'کیلیلی', 'نییە', 'ئەو']","['بغلان', 'بە', 'هەر', 'لە', 'بۆ', 'ئەوە', 'وەڵڵا', 'کیلیلی', 'نییە', 'ئەو']","['بغلان', 'هەر', 'وەڵڵا', 'کیلیلی', 'نییە', 'ئەرێ', 'وایە', 'کردنتتتت', 'ئەی', 'ئای']","['بغلان', 'بە', 'هەر', 'لە', 'بۆ', 'ئەوە', 'مرررررسی', 'وەڵڵا', 'کیلیلی', 'نییە']"
INFP,"['گاتسون', 'اقابزرگ', 'رینا', 'یونگجه', 'طیما', 'شوکیون', 'عح', 'والش', 'یوگیوم', 'داب']","['همۀ', 'اقابزرگ', 'باع', 'مرررررررررررررررررسی', 'مسمسس', 'شوکیون', 'خدارشکر', 'فروارداتون', 'رعو', 'لغواعدام']","['چانگبین', 'اقابزرگ', 'رینا', 'مرررررررررررررررررسی', 'طیما', 'مسمسس', 'شوکیون', 'یوگیوم', 'داب', 'فنکیو']","['اقابزرگ', 'رینا', 'میخوایی', 'مرررررررررررررررررسی', 'شوکیون', 'اکسوییا', 'فروارداتون', 'رعو', 'لغواعدام', 'وسانلی']","['مادرجنده', 'آد', 'آرت', 'کنسول', 'ناروتو', 'نیکتا', 'عاخه', 'نیل', 'آخوندها', 'وویی']","['اهوم', 'کنسول', 'نیکتا', 'لیوای', 'اقابزرگ', 'مسمس', 'یح', 'اصلاحات', 'ایوای', 'لطفن']","['وویی', 'گاتسون', 'دازای', 'اقابزرگ', 'چطوریی', 'مسمس', 'ایوای', 'هقق', 'مرررررررررررررررررسی', 'پدصگ']","['لویی', 'واندی', 'زیام', 'نیکتا', 'وویی', 'گاتسون', 'اقابزرگ', 'فف', 'موزیکال', 'رینا']","['همۀ', 'اقابزرگ', 'مرررررررررررررررررسی', 'طیما', 'شوکیون', 'صرفن', 'فنکیو', 'فروارداتون', 'رعو', 'مچکرررم']",,"['اقابزرگ', 'مسمس', 'رینا', 'مرررررررررررررررررسی', 'شوکیون', 'فنکیو', 'اکسوییا', 'فروارداتون', 'رعو', 'خفهشو']","['اقابزرگ', 'رینا', 'مرررررررررررررررررسی', 'مسمسس', 'شوکیون', 'والش', 'فروارداتون', 'وسانلی', 'بزنیدبه', 'دابشیا']","['حتا', 'مثلن', 'احتمالن', 'آد', 'ناروتو', 'عیال', 'اقابزرگ', 'فف', 'مسمس', 'کاملن']","['آد', 'فکنم', 'نیکتا', 'قالیباف', 'تویتر', 'اقابزرگ', 'مسمس', 'ایوای', 'رینا', 'یونگجه']","['دازای', 'اقابزرگ', 'مرررررررررررررررررسی', 'مسمسس', 'شوکیون', 'مینسوکی', 'اشلی', 'لوهان', 'هیح', 'فروارداتون']","['همۀ', 'اقابزرگ', 'یح', 'تقریبن', 'یونگجه', 'مرررررررررررررررررسی', 'طیما', 'مسمسس', 'شوکیون', 'صرفن']"
