,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
ENFJ,کنم,اون,نه,تا,در,دیگه,بود,خیلی,ولی,هم,می,با,یه,تو,رو,این,من,از,به,که
ENFP,اون,کنم,در,تا,نه,دیگه,می,بود,خیلی,ولی,هم,با,یه,رو,این,تو,من,از,به,که
ENTJ,ها,اون,نه,تا,دیگه,ولی,بود,خیلی,در,می,هم,با,یه,تو,این,رو,من,از,به,که
ENTP,کنم,اون,تا,نه,دیگه,در,بود,می,خیلی,ولی,هم,با,یه,تو,این,رو,من,از,به,که
ESFJ,اون,کنم,در,تا,نه,دیگه,بود,ولی,خیلی,هم,می,با,یه,رو,تو,این,من,از,به,که
ESFP,دارم,اون,تا,نه,در,دیگه,بود,ولی,خیلی,می,هم,با,یه,رو,این,تو,من,از,به,که
ESTJ,برای,اون,نه,تا,دیگه,ولی,خیلی,بود,در,می,هم,یه,با,تو,رو,این,من,از,به,که
ESTP,داره,اون,تا,نه,دیگه,می,در,بود,خیلی,ولی,هم,با,یه,تو,این,رو,من,از,به,که
INFJ,کنم,اون,نه,تا,دیگه,در,بود,خیلی,ولی,می,هم,با,یه,تو,رو,این,من,از,به,که
INFP,اون,کنم,نه,تا,در,دیگه,بود,خیلی,ولی,هم,با,می,یه,رو,این,تو,من,از,به,که
INTJ,ها,اون,نه,تا,دیگه,بود,خیلی,در,ولی,می,با,هم,یه,تو,من,این,رو,از,به,که
INTP,کنم,اون,نه,تا,دیگه,بود,خیلی,در,ولی,می,هم,با,یه,تو,رو,این,من,از,به,که
ISFJ,کنم,اون,نه,تا,در,دیگه,بود,خیلی,ولی,می,با,هم,یه,تو,این,من,رو,از,به,که
ISFP,چرا,در,کنم,نه,تا,می,دیگه,بود,هم,ولی,خیلی,با,یه,رو,تو,این,به,من,از,که
ISTJ,میشه,اون,تا,نه,بود,دیگه,در,خیلی,ولی,می,با,هم,یه,تو,این,من,رو,از,به,که
ISTP,میشه,اون,نه,تا,دیگه,در,می,بود,خیلی,ولی,هم,با,یه,رو,تو,این,من,از,به,که
